SKU,Master SKU,COG,GSTPerc,TransportationCost,StockistMarkup
ADAT0013MRBLU,,255,0.18,0,0
ADAT0013TNBL,,255,0.18,0,0
ADAT0023BLBL,,250,0.18,0,0
ADAT0023BLBLU,,250,0.18,0,0
ADAT0023BRBL,,250,0.18,0,0
ADAT0023BRTN,,250,0.18,0,0
ADAT0023REDBL,,250,0.18,0,0
ADAT0023TNBL,,250,0.18,0,0
ADAT0023TNBR,,250,0.18,0,0
ADV1WM0024BLBL,,250,0.18,0,0
ADWM00014BLBL,,255,0.18,0,0
ADWM00014BLRED,,255,0.18,0,0
ADWM00014BRBR,,255,0.18,0,0
ADWM00014MRBL,,255,0.18,0,0
ADWM00014MRBLU,,255,0.18,0,0
ADWM00014TNBL,,255,0.18,0,0
ADWM00024BLBLU,,250,0.18,0,0
ADWM00024BRTN,,250,0.18,0,0
ADWM00024MRBL,,250,0.18,0,0
ADWM00024MRBLU,,250,0.18,0,0
ADWM00024REDBL,,250,0.18,0,0
ADWM00024TNBL,,250,0.18,0,0
ADWM0007BLBL,,164,0.18,0,0
AF0032NAVYBLUE,,194,0.18,0,0
AFAT00013BLBL,,255,0.18,0,0
AFAT00013BRBR,,255,0.18,0,0
AFAT00013MRBLU,,255,0.18,0,0
AFAT00023BRBL,,250,0.18,0,0
AFAT00023TNBL,,250,0.18,0,0
AFAT0013BLBL,,255,0.18,0,0
AFAT0013BLRD,,255,0.18,0,0
AFAT0013BRBR,,255,0.18,0,0
AFAT0013MRBL,,255,0.18,0,0
AFAT0013TNBL,,255,0.18,0,0
AFAT0023BLBL,,250,0.18,0,0
AFAT0023BLBLU,,250,0.18,0,0
AFAT0023BRBL,,250,0.18,0,0
AFAT0023BRTN,,250,0.18,0,0
AFAT0023REDBL,,250,0.18,0,0
AFAT0023TNBL,,250,0.18,0,0
AFAT0023TNBR,,250,0.18,0,0
AFKH0032NAVY,,194,0.18,0,0
AFWM00014BLBL,,255,0.18,0,0
AFWM00014BLRED,,255,0.18,0,0
AFWM00014BRBR,,255,0.18,0,0
AFWM00014MRBL,,255,0.18,0,0
AFWM00014MRBLU,,255,0.18,0,0
AFWM00014TNBL,,255,0.18,0,0
AFWM00024BLBLU,,250,0.18,0,0
AFWM00024BRTN,,250,0.18,0,0
AFWM00024MRBL,,250,0.18,0,0
AFWM00024MRBLU,,250,0.18,0,0
AFWM00024REDBL,,250,0.18,0,0
AFWM00024TNBL,,250,0.18,0,0
AFWM0024BLBL,,250,0.18,0,0
AFWM0024TNBR,,250,0.18,0,0
BKAT0023BLBL,,250,0.18,0,0
BKAT0023BRBL,,250,0.18,0,0
BKAT0023TNBR,,250,0.18,0,0
BKV1WM0024BLBL,,250,0.18,0,0
BKV1WM0024TNBR,,250,0.18,0,0
BKWM00007BLACK,,164,0.18,0,0
BKWM0007BLBL,,164,0.18,0,0
DBCAT0013BLBL,,255,0.18,0,0
DBCAT0013BLRED,,255,0.18,0,0
DBCAT0013BRBR,,255,0.18,0,0
DBCAT0013MRBL,,255,0.18,0,0
DBCAT0013MRBLU,,255,0.18,0,0
DBCAT0013TNBL,,255,0.18,0,0
DBCAT0023BLBL,,250,0.18,0,0
DBCAT0023BLBLU,,250,0.18,0,0
DBCAT0023BRBR,,250,0.18,0,0
DBCAT0023BRTN,,250,0.18,0,0
DBCAT0023REDBL,,250,0.18,0,0
DBCAT0023TNBL,,250,0.18,0,0
DBCAT0023TNBR,,250,0.18,0,0
DBCWM00007BLACK,,164,0.18,0,0
DBCWM00014BLBL,,255,0.18,0,0
DBCWM00014BLRED,,255,0.18,0,0
DBCWM00014MRBL,,255,0.18,0,0
DBCWM00014MRBLU,,255,0.18,0,0
DBCWM00014TNBL,,255,0.18,0,0
DBCWM00014V1BRBR,,255,0.18,0,0
DBCWM00024BLBLU,,250,0.18,0,0
DBCWM00024BRTN,,250,0.18,0,0
DBCWM00024MRBL,,250,0.18,0,0
DBCWM00024MRBLU,,250,0.18,0,0
DBCWM00024REDBL,,250,0.18,0,0
DBCWM00024TNBL,,250,0.18,0,0
DBCWM00024TNBR,,250,0.18,0,0
DBCWM0007BLBL,,164,0.18,0,0
FRAT0013BLBL,,255,0.18,0,0
FRAT0013BLRD,,255,0.18,0,0
FRAT0013BRBR,,255,0.18,0,0
FRAT0013MRBL,,255,0.18,0,0
FRAT0013MRBLU,,255,0.18,0,0
FRAT0013TNBL,,255,0.18,0,0
FRAT0023BLBL,,250,0.18,0,0
FRAT0023BLBLU,,250,0.18,0,0
FRAT0023BRBL,,250,0.18,0,0
FRAT0023BRTN,,250,0.18,0,0
FRAT0023REDBL,,250,0.18,0,0
FRAT0023TNBL,,250,0.18,0,0
FRAT0023TNBR,,250,0.18,0,0
FRV1WM0024TNBR,,250,0.18,0,0
FRWM00014BLBL,,255,0.18,0,0
FRWM00014BLRD,,255,0.18,0,0
FRWM00014BRBR,,255,0.18,0,0
FRWM00014MRBL,,255,0.18,0,0
FRWM00014MRBLU,,255,0.18,0,0
FRWM00014TNBL,,255,0.18,0,0
FRWM00024BLBLU,,250,0.18,0,0
FRWM00024BRTN,,250,0.18,0,0
FRWM00024MRBL,,250,0.18,0,0
FRWM00024MRBLU,,250,0.18,0,0
FRWM00024REDBL,,250,0.18,0,0
FRWM00024TNBL,,250,0.18,0,0
FRWM0007BLBL,,164,0.18,0,0
HMAT0013BLBL,,255,0.18,0,0
HMAT0013BLRED,,255,0.18,0,0
HMAT0013BRBR,,255,0.18,0,0
HMAT0013MRBL,,255,0.18,0,0
HMAT0013MRBLU,,255,0.18,0,0
HMAT0013TNBL,,255,0.18,0,0
HMAT0023BLBL,,250,0.18,0,0
HMAT0023BRBL,,250,0.18,0,0
HMAT0023BRTN,,250,0.18,0,0
HMAT0023REDBL,,250,0.18,0,0
HMAT0023TNBL,,250,0.18,0,0
HMAT0023TNBR,,250,0.18,0,0
HMAT0023V1BLBLU,,250,0.18,0,0
HMWM00014BLBL,,255,0.18,0,0
HMWM00014BLRED,,255,0.18,0,0
HMWM00014BRBR,,255,0.18,0,0
HMWM00014MRBL,,255,0.18,0,0
HMWM00014MRBLU,,255,0.18,0,0
HMWM00014TNBL,,255,0.18,0,0
HMWM00024BLBL,,250,0.18,0,0
HMWM00024BRTN,,250,0.18,0,0
HMWM00024MRBL,,250,0.18,0,0
HMWM00024MRBLU,,250,0.18,0,0
HMWM00024REDBL,,250,0.18,0,0
HMWM00024TNBL,,250,0.18,0,0
HMWM00024TNBR,,250,0.18,0,0
HMWM0007BLBL,,164,0.18,0,0
TSWM0007BLBL,,164,0.18,0,0
